year,cpi,unemploy,gdp,oilprice,population,Cement,housing,gasppi,workers,lime,silica
1968,4.27179615288534,3.558333333333333,942500000000,3.07,200745.33333333334,67767,1319.8,7.6,40912,16907,24471
1969,5.4623862002875,3.4916666666666667,1019900000000,3.295,202735.83333333334,69852,1399,7.725,43633,18333,26327
1970,5.83825533848253,4.9833333333333325,1073303000000,3.3508333333333336,205088.83333333334,65567,1418.4,7.916666666666665,43823,17914,26440
1971,4.29276668813045,5.95,1164850000000,3.56,207691.75,70018,1706.1,8.433333333333334,45223,17773,23733
1972,3.27227824655283,5.6,1279110000000,3.56,209924.08333333334,71651,2003.9,9.041666666666666,47477,18407,26789
1973,6.17776006377041,4.8583333333333325,1425376000000,3.8725,211938.66666666666,80526,2100.5,9.8,50005,19133,26285
1974,11.0548048048048,5.641666666666667,1545243000000,10.372499999999999,213898.25,69533,1728.5,11.566666666666666,49135,19601,26372
1975,9.14314686496534,8.475,1684904000000,11.16,215981,59711,1317.2,16.083333333333332,43283,17356,24751
1976,5.74481263549085,7.7,1873412000000,12.645,218086.25,63147,1377.2,21.80833333333333,43929,18279,27138
1977,6.50168399472839,7.05,2081826000000,14.295833333333334,220289.08333333334,68615,1657.1,30.79166666666666,47268,18096,28449
1978,7.63096383885602,6.066666666666666,2351599000000,14.85,222628.91666666666,72415,1867.5,36.49166666666666,51851,18546,29801
1979,11.2544711292795,5.85,2627333000000,22.40416666666667,225106.16666666666,71341,1870.8,47.658333333333324,54746,19001,30400
1980,13.5492019749684,7.175,2857307000000,37.375,227725.83333333334,65366,1501.6,63.275,53444,17246,27651
1981,10.3347153402771,7.616666666666665,3207041000000,36.666666666666664,230008.5,63440,1265.7,82.08333333333333,51650,17106,27197
1982,6.13142700027494,9.70833333333333,3343789000000,33.63583333333333,232218.33333333334,55403,1005.5,99.99166666666665,48288,12769,24857
1983,3.21243523316063,9.6,3634038000000,30.395,234332.66666666666,61226,1390.3,106.575,48777,13487,24149
1984,4.30053547523427,7.508333333333333,4037613000000,29.2755,236394.25,67507,1652.2,106.08333333333331,54010,14444,26653
1985,3.54564415209369,7.191666666666666,4338979000000,27.97275,238506.08333333334,67742,1703.3,102.85,57508,14234,26698
1986,1.89804772234275,7,4579631000000,15.040000000000001,240682.25,68236,1756.4,89.575,59236,13131,24875
1987,3.66456321751691,6.175,4855215000000,19.161916666666666,242842.58333333334,67637,1668.8,79.5,61067,14273,25410
1988,4.07774110744408,5.491666666666666,5236438000000,15.959583333333333,245061.16666666666,66471,1529.8,77.35,62793,15688,25837
1989,4.82700303008949,5.258333333333333,5641580000000,19.590833333333332,247387.58333333334,67036,1422.8,82.025,63709,15559,26494
